date,os,vertical,country,total_DAU,total_downloads,total_duration_minutes
2024-12-02,IOS,Sportsbetting,USA,"4,031,465","121,400","40,117,926"
2024-12-02,ANDROID,Sportsbetting,USA,"1,809,401","51,053","15,808,384"
2024-12-03,ANDROID,RMG,USA,"661,566","12,581","9,235,251"
2024-12-03,IOS,RMG,USA,"794,782","22,179","6,249,446"
2024-12-03,IOS,Sportsbetting,USA,"3,563,571","96,988","33,351,733"
2024-12-03,ANDROID,Sportsbetting,USA,"1,613,188","54,150","14,442,401"
2024-12-04,ANDROID,RMG,USA,"662,789","12,026","9,206,563"
2024-12-04,IOS,RMG,USA,"854,887","28,458","8,158,590"
2024-12-04,ANDROID,Sportsbetting,USA,"1,470,774","51,361","13,637,608"
2024-12-04,IOS,Sportsbetting,USA,"3,416,552","109,469","35,404,621"
2024-12-05,IOS,RMG,USA,"885,532","36,542","7,071,171"
2024-12-05,ANDROID,RMG,USA,"637,827","8,953","7,948,796"
2024-12-05,ANDROID,Sportsbetting,USA,"1,863,550","43,058","17,055,448"
2024-12-05,IOS,Sportsbetting,USA,"3,786,461","91,975","41,315,570"
2024-12-06,IOS,RMG,USA,"812,249","29,681","8,851,326"
2024-12-06,ANDROID,RMG,USA,"624,731","10,628","9,240,096"
2024-12-06,ANDROID,Sportsbetting,USA,"1,487,776","53,975","11,083,648"
2024-12-06,IOS,Sportsbetting,USA,"3,725,765","108,568","36,101,945"
2024-12-07,ANDROID,RMG,USA,"651,044","17,710","9,252,324"
2024-12-07,IOS,RMG,USA,"886,439","35,975","8,892,357"
2024-12-07,IOS,Sportsbetting,USA,"3,630,797","144,533","39,645,177"
2024-12-07,ANDROID,Sportsbetting,USA,"1,393,767","61,627","12,386,828"
2024-12-08,ANDROID,RMG,USA,"641,670","16,054","9,973,254"
2024-12-08,IOS,RMG,USA,"1,014,098","30,423","8,590,605"
2024-12-08,ANDROID,Sportsbetting,USA,"2,196,837","72,949","32,253,213"
2024-12-08,IOS,Sportsbetting,USA,"4,200,046","137,468","61,521,519"
2024-12-09,ANDROID,RMG,USA,"606,016","14,137","9,676,650"
2024-12-09,IOS,RMG,USA,"885,069","23,898","6,822,473"
2024-12-09,IOS,Sportsbetting,USA,"3,910,238","127,760","42,954,292"
2024-12-09,ANDROID,Sportsbetting,USA,"1,745,583","37,304","14,868,086"
2024-12-10,ANDROID,RMG,USA,"665,240","14,641","10,341,808"
2024-12-10,IOS,RMG,USA,"939,888","25,141","7,252,745"
2024-12-10,IOS,Sportsbetting,USA,"3,368,676","90,532","34,480,803"
2024-12-10,ANDROID,Sportsbetting,USA,"1,577,694","34,169","13,780,057"
2024-12-11,IOS,RMG,USA,"1,034,564","38,264","8,982,422"
2024-12-11,ANDROID,RMG,USA,"662,092","13,993","10,462,144"
2024-12-11,IOS,Sportsbetting,USA,"3,237,875","99,082","37,513,734"
2024-12-11,ANDROID,Sportsbetting,USA,"1,426,390","52,756","12,718,126"
2024-12-12,ANDROID,RMG,USA,"652,102","10,201","8,958,314"
2024-12-12,IOS,RMG,USA,"1,078,271","27,564","8,171,675"
