date,os,grouped_category,MAU,DAU,country
2024-04-19,ANDROID,Sportsbetting,2683428,698190,U.S.
2024-04-19,IOS,Sportsbetting,10464489,1737384,U.S.
2024-04-20,ANDROID,RMG,4939002,887649,U.S.
2024-04-20,IOS,RMG,5605965,1163349,U.S.
2024-04-20,ANDROID,Sportsbetting,2683428,741015,U.S.
2024-04-20,IOS,Sportsbetting,10464489,1986564,U.S.
2024-04-21,ANDROID,RMG,4939002,807552,U.S.
2024-04-21,IOS,RMG,5605965,1017087,U.S.
2024-04-21,ANDROID,Sportsbetting,2683428,791108,U.S.
2024-04-21,IOS,Sportsbetting,10464489,2055207,U.S.
2024-04-22,ANDROID,RMG,4939002,762208,U.S.
2024-04-22,IOS,RMG,5605965,796215,U.S.
2024-04-22,ANDROID,Sportsbetting,2683428,681331,U.S.
2024-04-22,IOS,Sportsbetting,10464489,1778989,U.S.
2024-04-23,ANDROID,RMG,4939002,831327,U.S.
2024-04-23,IOS,RMG,5605965,861343,U.S.
